ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
290047000,116800,29326101,211,4TH ST SW,,LOT,2395.8
290086000,157100,29326102,605,DICE ST,,LOT 9,5052.96
280069000,706300,29326103,101,W SOUTH ST,,PT LOT 53 & LOT,7261.452
290211000,336600,29326104,628,DICE ST,,PT LOTS 43 & 44,7056.72
280061000,4808800,29326105,200,E WATER ST,,WATER STREET PARKING GARAGE,0
280061100,675300,29326106,0,E WATER ST,,WATER STREET PARKING GARAGE,0
280061200,11991300,29326107,200,E WATER ST,,WATER STREET PARKING CENTER,0
280061300,1002700,29326108,200,E WATER ST,,WATER STREET PARKING GARAGE,0
280061400,1374200,29326109,200,E WATER ST,C-1,COMM UNITS C-1 THRU C-8,7884.36
280061500,251600,29326110,200,E WATER ST,C216,COMM UNIT C-9 WSPG CONDO,1324.224
280061600,274400,29326111,300,E WATER ST,C300,COMM #C-10 WSPG CONDO,1446.192
280061700,663700,29326112,200,E WATER ST,C-11,"COMM #C-11,C-12,C-13,C-14",3493.512
290087000,219800,29326113,601,DICE ST,,LOT 10,5314.32
290055000,829100,29326114,212,5TH ST SW,,LOT,0
290046000,137900,29326115,215,4TH ST SW,,LOT,2831.4
290088000,415500,29326116,599,DICE ST,,LOT 11,5270.76
290212000,262900,29326117,306,7 1/2 ST SW,,PT LOTS 43 & 44,11020.68
290210000,220700,29326118,620,DICE ST,,PT LOT 44E,4835.16
290045000,57100,29326119,0,4TH ST SW,,LOT,3310.56
280058000,3681500,29326120,401-407,E WATER ST,,LOT,9321.84
290209000,125400,29326121,618,DICE ST,,LOT,6141.96
280101000,1497300,29326122,108-10,W SOUTH ST,,LOT,4704.48
290065000,220800,29326123,219,5TH ST SW,,LOT,3223.44
280051B00,2816900,29326124,107-119,5TH ST SE,,LOT 3,7100.28
290208000,374900,29326125,614,DICE ST,,LOT,4138.2
290056000,194400,29326126,214,5TH ST SW,,LOT,4617.36
290044000,28800,29326127,221,4TH ST SW,,LOT,2090.88
280102100,2354300,29326128,106,W SOUTH ST,,PARCEL 102-B,6011.28
290064000,241400,29326129,221,5TH ST SW,,LOT,4530.24
290042000,242800,29326130,223,4TH ST SW,,LOTS A&B,3484.8
290093000,176700,29326131,610,DICE ST,,LOT,3310.56
290213000,522700,29326132,312,7 1/2 ST SW,,LOT 45,10890
280102000,413600,29326133,100,W SOUTH ST,1-A,UNIT 1-A SOUTH ST WEST CONDO,2657.16
280102000,413600,29326133,100,W SOUTH ST,1-A,UNIT 1-A SOUTH ST WEST CONDO,2657.16
280102210,219800,29326134,100,W SOUTH ST,1-B,UNIT 1-B SOUTH ST WEST CONO,771.012
280102220,335100,29326135,100,W SOUTH ST,1-C,UNIT 1-C SOUTH ST WEST CONDO,1467.972
280102230,781100,29326136,100,W SOUTH ST,2-A,UNIT 2-A SOUTH ST WEST CONO,5270.76
280102240,893200,29326137,100,W SOUTH ST,3-A,UNIT 3-A SOUTH ST WEST CONDO,5614.884
280102250,465300,29326138,100,W SOUTH ST,,BSMT UNIT-SOUTH ST WEST CONDO,1999.404
290092000,246200,29326139,604,DICE ST,,LOT,5314.32
290057000,217200,29326140,218,5TH ST SW,,LOT,6969.6
290063000,350300,29326141,223,5TH ST SW,,LOT A,7056.72
290091000,177100,29326142,602,DICE ST,,LOT,3397.68
290060000,502600,29326143,413,DICE ST,,LOT,10367.28
290089000,377900,29326144,600,DICE ST,,LOT,5270.76
290207000,282700,29326145,311,6 1/2 ST SW,,LOT,5662.8
280104000,3196100,29326146,100,E SOUTH ST,,LOT,7609.932
290058000,411300,29326147,220,5TH ST SW,,LOT,8712
290214000,246500,29326148,316,7 1/2 ST SW,,LOT 46,10759.32
290040000,151700,29326149,227,4TH ST SW,,PT LOT,3484.8
290094000,222600,29326150,304-306,6 1/2 ST SW,,LOT,2831.4
290029000,5733900,29326151,211,RIDGE ST,,"LOTS 3,4,11,A,B, PT 10&12",52794.72
280060200,214600,29326152,400,E WATER ST,A-B,PARCEL C THE KING BLDG CONDO,1106.424
290103000,225800,29326153,598,DICE ST,,LOT 1,3615.48
290103000,225800,29326153,598,DICE ST,,LOT 1,3615.48
2800601A0,249800,29326154,410,E WATER ST,100,PARCEL A #100 KING BLD CONDO,2313.036
2800601B0,292700,29326155,410,E WATER ST,200,PARCEL A #200 KING BLD CONDO,1507.176
2800601C0,285000,29326156,410,E WATER ST,300,PARCEL A #300 KING BLD CONDO,1467.972
2800601D0,386900,29326157,410,E WATER ST,400,PARCEL A #400 KING BLD CONDO,1990.692
2800601E0,150700,29326158,410,E WATER ST,404,PARCEL A #404 KING BLD CONDO,775.368
2800601F0,75800,29326159,410,E WATER ST,406,PARCEL A #406 KING BLD CONDO,15942.96
2800601G0,325800,29326160,414,E WATER ST,900,PARCEL A #900 KING BLD CONDO,1677.06
2800601H0,342400,29326161,410,E WATER ST,500,PARCEL A #500 KING BLD CONDO,1764.18
2800601I0,316400,29326162,410,E WATER ST,600,PARCEL A #600 KING BLD CONDO,1629.144
2800601J0,345000,29326163,410,E WATER ST,700,PARCEL A #700 KING BLD CONDO,1777.248
2800601K0,1448700,29326164,418,E WATER ST,800,PARCEL A #800 KING BLD CONDO,8860.104
290039000,149500,29326165,229,4TH ST SW,,PT LOT,3484.8
290095000,168600,29326166,308,6 1/2 ST SW,,LOT,4312.44
290030000,5693400,29326167,307,RIDGE ST,,LOTS,92303.64
280131000,1146700,29326168,140,GARRETT ST,,LOT & PARCEL 5-A,13939.2
290062000,277600,29326169,222,5TH ST SW,,LOT,5052.96
290206000,321100,29326170,315,6 1/2 ST SW,,LOT,5009.4
290104000,184200,29326171,301,5TH ST SW,,LOT,7623
290215000,354200,29326172,320,7 1/2 ST SW,,LOT 47 FIFE'S ADDITION,1089
290215000,354200,29326172,320,7 1/2 ST SW,,LOT 47 FIFE'S ADDITION,1089
290102000,240000,29326173,306,6TH ST SW,,LOT 2,3397.68
280060000,309400,29326174,0,4TH ST SE,,PARCEL B THE KING BLDG CONDO,6969.6
280144000,550200,29326175,214,RIDGE ST,,LOT,5183.64
290090000,377800,29326176,309,6TH ST SW,,LOT,5793.48
290038000,416200,29326177,231,4TH ST SW,,LOT,3179.88
290038000,416200,29326177,231,4TH ST SW,,LOT,3179.88
290061000,322500,29326178,224,5TH ST SW,,LOT,5140.08
290101000,216300,29326179,308,6TH ST SW,,LOT 3,3702.6
290205000,334800,29326180,319,6 1/2 ST SW,,LOT NORTH SIDE OF 6 1\2 ST,6272.64
290096000,14400,29326181,0,6 1/2 ST SW,,LOT,1393.92
290096000,14400,29326181,0,6 1/2 ST SW,,LOT,1393.92
280105000,1983100,29326182,310,2ND ST SE,,PT LOT 42,12066.12
290105000,537600,29326183,303,5TH ST SW,,LOT,4138.2
280146000,1089900,29326184,218,RIDGE ST,,LOT,9713.88
290037000,412300,29326185,233,4TH ST SW,,LOT,3354.12
290216000,514700,29326186,324,7 1/2 ST SW,,LOT 48 FIFE ADDITION,10759.32
290097000,298900,29326187,316,6 1/2 ST SW,,LOT & PAR A&B,4225.32
290059000,199800,29326188,412-1/2,DICE ST,,LOT,4051.08
290098000,166200,29326189,313,6TH ST SW,,LOT,6185.52
290100000,550300,29326190,310,6TH ST SW,,LOT 4 & STRIP,4878.72
290036000,57100,29326191,411,DICE ST,,LOT,2395.8
290106000,267100,29326192,307,5TH ST SW,,LOT,4181.76
280130000,16595100,29326193,201,MONTICELLO AVE,,LOTS 5-B & 5-C,67125.96
280107000,913800,29326194,320,2ND ST SE,,LOT,14331.24
290035000,199600,29326195,409,DICE ST,,LOT,2613.6
280113000,4352700,29326196,303-333,2ND ST SE,,PARCEL A,25953.048
290113000,388200,29326197,302,5TH ST SW,,LOT 1,7753.68
290204000,407400,29326198,325,6 1/2 ST SW,,LOT,6621.12
290034000,401100,29326199,405,DICE ST,,LOT,3397.68
290185000,240400,29326200,322,6 1/2 ST SW,,LOT 1,5445
290217000,293500,29326201,328,7 1/2 ST SW,,LOT 49 FIFE ADDITION,11761.2
290107000,201500,29326202,307-1/2,5TH ST SW,,LOT,4443.12
290099000,252000,29326203,314,6TH ST SW,,LOT,6141.96
290114000,351600,29326204,416,DICE ST,,LOT 5,7492.32
290184000,245100,29326205,321,6TH ST SW,,LOT,7143.84
290184000,245100,29326205,321,6TH ST SW,,LOT,7143.84
280060100,4647700,29326206,300,4TH ST SE,,LOTS & STRIP,0
290203000,187900,29326207,331,6 1/2 ST SW,,PT LOT 18,6969.6
290108000,194800,29326208,309,5TH ST SW,,LOT,4094.64
290117000,337200,29326209,414,DICE ST,,LOT & PARCEL X,3223.44
290218000,236400,29326210,332,7 1/2 ST SW,,LOT 50 FIFE ADDITION,10890
290118000,376900,29326211,412,DICE ST,,LOT,6359.76
290186000,203400,29326212,324,6 1/2 ST SW,,LOT 2,4225.32
290112000,270900,29326213,308,5TH ST SW,,LOT 2,7405.2
290119000,179200,29326214,410,DICE ST,,LOT,4312.44
280245000,3944300,29326215,505,GARRETT ST,,PARCEL 1-A,98053.56
290109000,345600,29326216,311,5TH ST SW,,LOT,3354.12
290122000,270700,29326217,406,DICE ST,,PT LOT 5,4660.92
290183000,201600,29326218,318,6TH ST SW,,PT LOT 12,3136.32
290189000,68500,29326219,0,6 1/2 ST SW,,LOT 3,3136.32
290123000,343300,29326220,404,DICE ST,,LOT,6011.28
290202000,184200,29326221,333,6 1/2 ST SW,,PT LOT 18,7623
290187000,202700,29326222,325,6TH ST SW,,PT LOT 11,3789.72
290219000,298200,29326223,336,7 1/2 ST SW,,LOT 51 FIFE ADDITION,0
290124000,77700,29326224,0,DICE ST,,LOT A-1,7230.96
280151000,773800,29326225,300,RIDGE ST,,PARCEL 21,10193.04
290111000,220400,29326226,310,5TH ST SW,,LOT 3,7884.36
290182000,229200,29326227,322,6TH ST SW,,LOT,9452.52
290190000,325800,29326228,328,6 1/2 ST SW,,LOT 4,4225.32
290171000,184100,29326229,313,5TH ST SW,,PT LOTS 1 & 2,5706.36
290201000,295600,29326230,339,6 1/2 ST SW,,PT LOT 19,10933.56
290188000,234000,29326231,327,6TH ST SW,,LOT A-1,6098.4
290130000,121500,29326232,320,DICE ST,,LOT,8232.84
290220000,172500,29326233,406,7 1/2 ST SW,,LOT 52 FIFE ESTATE,10759.32
290115000,289700,29326234,417,OAK ST,,LOT 6,6882.48
290124100,317500,29326235,402,DICE ST,,LOT B-1,7710.12
280152000,1379700,29326236,304-308,RIDGE ST,,LOT,21257.28
290172000,326600,29326237,319,5TH ST SW,,PT LOTS 2 & 3,5662.8
290191000,196100,29326238,330-332,6 1/2 ST SW,,PT LOT 5,2787.84
280244000,8262500,29326239,310-322,4TH ST SE,,PARCEL 1-B & 2,2439360
290131000,185600,29326240,318,DICE ST,,LOT,8058.6
290116000,300900,29326241,413,OAK ST,,LOT,9278.28
290181000,222200,29326242,324,6TH ST SW,,PT LOT 15,6316.2
290110000,210700,29326243,320,5TH ST SW,,LOT 4,8145.72
290192000,195400,29326244,333,6TH ST SW,,LOT X & PARCEL A-2,5357.88
290132000,618700,29326245,401,RIDGE ST,,LOT,13590.72
290120000,201100,29326246,409,OAK ST,,LOT,5052.96
290200000,139300,29326247,341,6 1/2 ST SW,,PT LOT 19,5445
280163000,260200,29326248,211,DICE ST,,LOT 1 OAKMONT,6446.88
290194000,267500,29326249,334,6 1/2 ST SW,,LOT 1,3136.32
290121000,230600,29326250,407,OAK ST,,LOT & PARCEL X,4878.72
290173000,183700,29326251,401,5TH ST SW,,PT LOT 3,5575.68
290195000,57100,29326252,0,6 1/2 ST SW,,LOT 2,1960.2
280164000,262900,29326253,213,DICE ST,,LOT 2 OAKMONT,9452.52
290233200,703200,29326254,701,CHERRY AVE,,LOT,14287.68
290180000,175800,29326255,330,6TH ST SW,,PT LOT 15,5052.96
290193000,255000,29326256,335,6TH ST SW,,LOT,4268.88
290125000,230100,29326257,313-315,4TH ST SW,,LOT,5009.4
290133000,814100,29326258,405,RIDGE ST,,LOT,10236.6
290221000,263000,29326259,410,7 1/2 ST SW,,LOT 54,10715.76
290196000,68500,29326260,0,6 1/2 ST SW,,LOT 3,2744.28
280165000,269800,29326261,215,DICE ST,,LOT 3 OAKMONT,9016.92
290174000,163500,29326262,405,5TH ST SW,,LOT,4573.8
290126000,63400,29326263,0,OAK ST,,LOT,6577.56
290197000,210700,29326264,337,6TH ST SW,,LOT 4,3354.12
290199000,261600,29326265,342,6 1/2 ST SW,,LOT,2700.72
290170000,191300,29326266,420,OAK ST,,LOT 1,8842.68
280166000,268700,29326267,217,DICE ST,,LOT 4 OAKMONT,8886.24
280153000,337100,29326268,400,RIDGE ST,,LOT 1,6011.28
290175000,214100,29326269,407,5TH ST SW,,LOT FRY'S LAND,4573.8
290179000,136300,29326270,0,6TH ST SW,,LOT 22,11282.04
290129000,288900,29326271,416-418,4TH ST SW,,LOT B,10062.36
290128000,146400,29326272,415,4TH ST SW,,LOT A,2352.24
290134000,356400,29326273,407,RIDGE ST,,LOT,10280.16
290169000,365900,29326274,418,OAK ST,,LOT 2,4835.16
290222000,419800,29326275,414,7 1/2 ST SW,,LOTS 55 & 56,21780
290198000,232000,29326276,339,6TH ST SW,,LOT,3136.32
290233100,815600,29326277,601,CHERRY AVE,,LOT,28357.56
280167000,271700,29326278,219,DICE ST,,LOT 5 OAKMONT,8842.68
280153100,463100,29326279,208,DICE ST,,LOT 2,0
290127000,115700,29326280,417,4TH ST SW,,LOT B,4094.64
290168000,404400,29326281,416,OAK ST,,LOT,4225.32
290176000,220600,29326282,413,5TH ST SW,,LOT 23A,4573.8
290167000,275400,29326283,414,OAK ST,,LOT,4704.48
290135000,895400,29326284,409,RIDGE ST,,LOT A,18556.56
280168000,220100,29326285,221,DICE ST,,LOT 6 OAKMONT,8755.56
290232100,2720300,29326286,604,CHERRY AVE,,1.847 ACRES,80455.32
290166000,310600,29326287,412,OAK ST,,LOT,4704.48
280154000,417600,29326288,406,RIDGE ST,,LOT,12632.4
290176100,153000,29326289,417,5TH ST SW,,LOT 23C,5793.48
290136000,606100,29326290,413,RIDGE ST,,LOT,8276.4
280169000,260600,29326291,223,DICE ST,,LOT 7 OAKMONT,7971.48
290154000,223700,29326292,406,OAK ST,,LOT,18774.36
280162000,260400,29326293,210,DICE ST,,LOT 20 OAKMONT,6446.88
290178200,377400,29326294,0,6TH ST SW,,LOT 3,15071.76
280161000,273300,29326295,401,OAKMONT ST,,LOT 19 OAKMONT,6446.88
280170000,270900,29326296,225,DICE ST,,LOT 8 OAKMONT,8407.08
290164000,344600,29326297,412,5TH ST SW,,LOT,7666.56
290176200,167900,29326298,415,5TH ST SW,,LOT 23B,2613.6
290223000,177400,29326299,418,7 1/2 ST SW,,LOT A,7056.72
290153000,412800,29326300,404,OAK ST,,LOT,9626.76
280155000,510100,29326301,408,RIDGE ST,,LOT,8755.56
290152100,212800,29326302,402,OAK ST,,LOT A,5009.4
290177000,250000,29326303,0,5TH ST SW,,LOT 4,9191.16
290165000,275300,29326304,410,OAK ST,,LOT,8755.56
290224000,318600,29326305,420,7 1/2 ST SW,,LOT B,13068
290152000,479100,29326306,324,OAK ST,,LOT B,6708.24
280174000,245600,29326307,400,OAKMONT ST,,LOT 12 OAKMONT,8494.2
280160000,259800,29326308,405,OAKMONT ST,,LOT 18 OAKMONT,8668.44
280171000,264700,29326309,227,DICE ST,,LOT 9 OAKMONT,7056.72
280218000,9875300,29326310,500,1ST ST S,,2.38 AC GARRETT ST PROJECT,0
290178100,269900,29326311,507,CHERRY AVE,,LOT 2,8494.2
290140000,396100,29326312,318,OAK ST,,LOT 3,6490.44
280173000,255300,29326313,218,DICE ST,,LOT 11 OAKMONT,8145.72
280156000,498200,29326314,410,RIDGE ST,,LOT,8755.56
290161000,328300,29326315,418,5TH ST SW,,"LOTS 1,2 & 3",20516.76
290139000,212600,29326316,312,OAK ST,,LOT 2,9539.64
290137100,197000,29326317,306,OAK ST,A&B,LOT 1-B,2090.88
280159000,251600,29326318,407,OAKMONT ST,,LOT 17 OAKMONT,8799.12
280195000,5300,29326319,225,OAK ST,,LOT & STRIP,90909.72
280157000,204800,29326320,412,RIDGE ST,,LOT,8755.56
290178000,532100,29326321,501,CHERRY AVE,,LOT 1,15594.48
290137000,448400,29326322,501,RIDGE ST,,LOT 1-A,7448.76
290141000,512600,29326323,507,RIDGE ST,,LOT,19384.2
290225000,92600,29326324,703,ELM ST,,PT LOTS 59 & 60,9670.32
280172000,260200,29326325,229,DICE ST,,LOT 10 OAKMONT,6098.4
280175000,276300,29326326,404,OAKMONT ST,,LOT 13 OAKMONT,9888.12
290233300,609500,29326327,600,CHERRY AVE,,LOT A,23086.8
290160000,203600,29326328,426,5TH ST SW,,"LOTS 4,5,6 & REAR LOT",16509.24
290155000,25600,29326329,0,5TH ST SW,,LOT,11456.28
290138000,654000,29326330,505,RIDGE ST,,LOT,9539.64
280158000,272800,29326331,213,OAK ST,,LOT 16 OAKMONT,10280.16
280176000,252600,29326332,406,OAKMONT ST,,LOT 14 OAKMONT,9888.12
290278000,315400,29326333,500,RIDGE ST,,LOT A,8276.4
290142000,496500,29326334,511,RIDGE ST,,LOT 2,261360
290232200,23200,29326335,701,ELM ST,,LOT 2,5880.6
290278100,127800,29326336,0,OAK ST,,LOT B,10846.44
290159000,295500,29326337,428,5TH ST SW,,LOT 7,2744.28
290226300,178000,29326338,504,7 1/2 ST SW,,LOT 3,5052.96
290233000,539200,29326339,0,CHERRY AVE,,3.07 ACRES,133729.2
290156000,57100,29326340,0,5TH ST SW,,LOT,16857.72
290158000,596000,29326341,435,CHERRY AVE,,"LOTS 8,9,10,11 & PT 12",12371.04
290226400,177900,29326342,506,7 1/2 ST SW,,LOT 4,5052.96
280177000,259400,29326343,217,OAK ST,,LOT 15 OAKMONT,11412.72
290143000,470200,29326344,515,RIDGE ST,,PT LOT 3,13198.68
290277000,449200,29326345,506,RIDGE ST,,LOT,14679.72
290226500,181200,29326346,508,7 1/2 ST SW,,LOT 5,4573.8
290144000,630300,29326347,517,RIDGE ST,,PT LOT 4,0
290226600,170400,29326348,510,7 1/2 ST SW,,LOT 6,5270.76
290228000,299800,29326349,523,7 1/2 ST SW,,LOT C,17598.24
290276000,263400,29326350,508,RIDGE ST,,LOT 3,6054.84
290234000,5087200,29326351,500,CHERRY AVE,,10.721 ACRES,467006.76
290232300,1200,29326352,0,OFF ELM ST,,LOT 3,2308.68
290275000,513900,29326353,510,RIDGE ST,,"LOTS 2,4,5 & 6",45302.4
290231000,2400,29326354,0,OFF ELM ST,,LOT,18905.04
290229000,209900,29326355,0,7 1/2 ST SW,,"LOTS 65,66 & PT LOT 64",23958
290274000,224200,29326356,512,RIDGE ST,,LOT 1,7535.88
290232400,3200,29326357,0,OFF ELM ST,,LOT 4,21954.24
280200000,181200,29326358,618,1ST ST S,,LOT 8 BELLS ADDITION,3746.16
290273000,558800,29326359,516,RIDGE ST,,LOT,14897.52
290232000,3700,29326360,0,OFF ELM ST,,LOT 5,26266.68
280201000,196200,29326361,620,1ST ST S,,LOT 7 BELLS ADDITION,3746.16
280204000,192500,29326362,105,OAK ST,,LOTS 12 & 15 BELLS ADDITION,4486.68
290230000,372000,29326363,618,7 1/2 ST SW,,LOT 135,39770.28
280202000,164600,29326364,624,1ST ST S,,LOTS 5 & 6 BELLS ADDITION,7187.4
280203000,158800,29326365,702,1ST ST S,,LOT 4 BELLS ADDITION,3746.16
290232500,4400,29326366,0,OFF ELM ST,,LOT 6,26789.4
270002000,209200,29326367,710,1ST ST S,,LOTS 2 & 3,7492.32
270005000,142900,29326368,104,OAK ST,,LOT 9  BELLS ADDITION,3484.8
270003000,156200,29326369,714,1ST ST S,,LOT 1 BELL'S ADDITION,3746.16
270004000,183300,29326370,716,1ST ST S,,LOT,7884.36
270004000,183300,29326370,716,1ST ST S,,LOT,7884.36
270019000,6549700,29326371,715,6TH ST SE,,7.3 ACRES,317988
270008000,170600,29326372,720,1ST ST S,,LOTS 2 & 3,16727.04
270009000,167700,29326373,722,1ST ST S,,LOT 4,5009.4
270010000,252200,29326374,724,1ST ST S,,LOT 5,4878.72
290263000,141000,29326375,610,RIDGE ST,,LOT,10193.04
270011000,162900,29326376,734,1ST ST S,,LOT 1,6272.64
290258000,36700,29326377,621,RIDGE ST,,LOT A,9278.28
290259000,284200,29326378,625,RIDGE ST,,LOT,7710.12
290261000,432600,29326379,620,RIDGE ST,,LOT,10149.48
270014000,278600,29326380,740,1ST ST S,,LOT A,5445
290254000,76000,29326381,633,RIDGE ST,,LOTS,13721.4
290260000,386400,29326382,624,RIDGE ST,,LOT,10715.76
270015000,14200,29326383,0,1ST ST S,,LOT 1,41774.04
290253000,282500,29326384,637,RIDGE ST,,LOT,8232.84
270091000,7223400,29326385,105,LANKFORD AVE,,PARCELS A & X,210220.56
270036000,286300,29326386,915,6TH ST SE,,LOT,21431.52
270034000,200500,29326387,905,6TH ST SE,,LOT,7187.4
270050000,319300,29326388,1002,2ND ST SE,,LOT 6 BK C SEC 1 IX ADDITION,6969.6
270048000,208100,29326389,1001,RAYON ST,,LOT 7 BK C SEC 1 IX ADDITION,5662.8
270035000,268200,29326390,909,6TH ST SE,,LOT,6229.08
270049000,255100,29326391,1003,RAYON ST,,LOT 8 BK C SEC 1 IX ADDITION,6011.28
270051000,228000,29326392,1004,2ND ST SE,,LOT 5 BK C SEC 1 IX ADDITION,5183.64
270047000,293400,29326393,1000,RAYON ST,,LOT 9 BK D SEC 1 IX ADDITION,7492.32
270052000,271200,29326394,1005,RAYON ST,,LOT 9 BK C SEC 1 IX ADDITION,6011.28
270054000,215300,29326395,1006,2ND ST SE,,LOT 4 BK C SEC 1 IX ADDITION,4573.8
270038100,414500,29326396,917,6TH ST SE,,LOT 10 BK D SEC 1 IX ADDITION,7056.72
270046000,250100,29326397,1002,RAYON ST,,LOT 8 BK D SEC 1 IX ADDITION,5488.56
270037000,267000,29326398,921,6TH ST SE,,LOT 11 BK D SEC 1 IX ADDITION,10933.56
270055000,358400,29326399,403,ELLIOTT AVE,,LOT 3 BK C SEC 1 IX ADDITION,5488.56
270053000,214400,29326400,1007,RAYON ST,,LOT 10 BK C SEC 1 IX ADDITION,4486.68
270045000,358400,29326401,1004,RAYON ST,,LOT 7 BK D SEC 1 IX ADDITION,9016.92
270056000,252900,29326402,405,ELLIOTT AVE,,LOT 2 BK C SEC 1 IX ADDITION,5314.32
270038000,210100,29326403,1003,6TH ST SE,,LOT 12 BK D SEC 1 IX ADDITION,6054.84
270057000,260800,29326404,407,ELLIOTT AVE,,LOT 1 BK C SEC 1 IX ADDITION,7013.16
270039000,346100,29326405,1007,6TH ST SE,,LOT 13 BK D SEC 1 IX ADDITION,9496.08
270040000,109900,29326406,1013,6TH ST SE,,LOT,13372.92
270060000,253400,29326407,404,ELLIOTT AVE,,LOT 6 BK B SEC 1 IX ADDITION,4225.32
270044000,227700,29326408,501,ELLIOTT AVE,,LOTS 4 & 5 BK D SEC 1 IX ADD,7579.44
270059000,178100,29326409,406,ELLIOTT AVE,,LOT 7 BK B SEC 1 IX ADDITION,6621.12
270061000,231800,29326410,1104,WARE ST,,LOT 5 BK B SEC 1 IX ADDITION,5009.4
270043000,274400,29326411,505,ELLIOTT AVE,,LOT 3 BK D SEC 1 IX ADDITION,5357.88
270058000,237700,29326412,408,ELLIOTT AVE,,LOT 1 BK B SEC 1 IX ADDITION,7710.12
270041000,206500,29326413,1015,6TH ST SE,,LOT 1 BK D SEC 1 IX ADDITION,4530.24
270062000,202100,29326414,1106,WARE ST,,LOT 4 BK B SEC 1 IX ADDITION,5052.96
270093000,249000,29326415,111,LANKFORD AVE,,LOT A,21692.88
270042000,232800,29326416,1017,6TH ST SE,,LOT 2 BK D SEC 1 IX ADDITION,4443.12
270066000,411700,29326417,500,ELLIOTT AVE,,LOT 6 BK A SEC 1 IX ADDITION,6795.36
270064000,244400,29326418,1107,RAYON ST,,LOT 2 BK B SEC 1 IX ADDITION,11630.52
270063000,198600,29326419,1108,WARE ST,,LOT 3 BK B SEC 1 IX ADDITION,6359.76
270067000,222000,29326420,502,ELLIOTT AVE,,LOT 7 BK A SEC 1 IX ADDITION,5488.56
270068000,240100,29326421,504,ELLIOTT AVE,,LOT 4 BK A SEC 1 IX ADDITION,9365.4
270069000,218900,29326422,1101,6TH ST SE,,LOT 1 BK A SEC 1 IX ADDITION,5924.16
270065000,242400,29326423,1106,RAYON ST,,LOT 5 BK A SEC 1 IX ADDITION,9757.44
270070000,218000,29326424,1103,6TH ST SE,,LOT 2 BK A SEC 1 IX ADDITION,5009.4
270072800,193400,29326425,400,ROBINSON PL,,LOT 9 & STRIP,7927.92
270072700,212900,29326426,402,ROBINSON PL,,LOT 8 ROBINSON PLACE,5924.16
270071000,262300,29326427,1105,6TH ST SE,,LOT 3 BK A SEC 1 IX ADDITION,5749.92
270072500,325100,29326428,1109,RAYON ST,,LOT 6,6664.68
270072600,316900,29326429,404,ROBINSON PL,,LOT 7 ROBINSON PLACE,6054.84
270072200,276100,29326430,1107,6TH ST SE,,LOT 3,7100.28
270072400,211800,29326431,1111,RAYON ST,,LOT 5,6185.52
270073000,313100,29326432,501,DRUID AVE,,LOT 8 & STR BK B SEC 2 IX ADD,14331.24
270072300,212900,29326433,1113,RAYON ST,,LOT 4,8232.84
270074000,240700,29326434,503,DRUID AVE,,LOT 7 BK B SEC 2 IX ADD,6054.84
270072100,307200,29326435,1109,6TH ST SE,,LOT 2,7100.28
270075000,321500,29326436,505,DRUID AVE,,LOT 6 BK B SEC 2 IX ADDITION,6054.84
270076000,275000,29326437,507,DRUID AVE,,LOT 5 BK B SEC 2 IX ADDITION,6054.84
270072000,250800,29326438,1111,6TH ST SE,,LOT 1,7100.28
270077000,278500,29326439,509,DRUID AVE,,LOT 4 BK B SEC 2 IX ADDITION,6054.84
270078000,207600,29326440,511,DRUID AVE,,LOT 3 BK B SEC 2 IX ADDITION,6054.84
270079000,212500,29326441,513,DRUID AVE,,LOT 2 BK B SEC 2 IX ADDITION,6054.84
270080000,228900,29326442,515,DRUID AVE,,LOT 1 BK B SEC 2 IX ADDITION,6098.4
270088000,290400,29326443,500,DRUID AVE,,LOT 8 & STR BK A SEC 2 IX ADD,11107.8
270087000,310400,29326444,502,DRUID AVE,,LOT 7 BK A SEC 2 IX ADDITION,6054.84
270086000,260700,29326445,504,DRUID AVE,,LOT 6 BK A SEC 2 IX ADDITION,6054.84
270096000,380200,29326446,1200,6TH ST SE,,LOT,32757.12
270085000,217700,29326447,506,DRUID AVE,,LOT 5 BK A SEC 2 IX ADDITION,6054.84
270084000,260000,29326448,508,DRUID AVE,,LOT 4 BK A SEC 2 IX ADDITION,6054.84
270083000,287300,29326449,510,DRUID AVE,,LOT 3 BK A SEC 2 IX ADDITION,6054.84
270082000,282300,29326450,512,DRUID AVE,,LOT 2 BK A SEC 2 IX ADDITION,6054.84
270097000,323100,29326451,1202,6TH ST SE,,LOT,45781.56
270081000,210300,29326452,514,DRUID AVE,,LOT 1 BK A SEC 2 IX ADDITION,5183.64
270098000,240700,29326453,501,STONEHENGE AVE,,LOT 1 BK B SEC 3 IX ADDITION,7884.36
270114000,63500,29326454,498,STONEHENGE AVE,,NEW LOT 1 BK A SEC 3 IX ADD,6577.56
270113100,239900,29326455,500,STONEHENGE AVE,,LOT 2 BK A SEC 3 IX ADDITION,4399.56
270102000,255300,29326456,509,STONEHENGE AVE,,LOT 5 BK B SEC 3 IX ADDITION,5662.8
270112000,231300,29326457,502,STONEHENGE AVE,,LOT 3 BK A SEC 3 IX ADD,4399.56
270103000,287500,29326458,511,STONEHENGE AVE,,LOT 6 BK B SEC 3 IX ADDITION,5662.8
