ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT
020010000,406600,29322142,116,HOWARD DR,,LOT 8 HOWARD,9844.56
010039000,715200,29322143,1866,FIELD RD,,LOT 12 BK 8 RUGBY,17511.12
020015000,558800,29322144,1806,BARRACKS RD,,LOT 4,15725.16
020015000,558800,29322144,1806,BARRACKS RD,,LOT 4,15725.16
020032000,1434400,29322145,1861,FIELD RD,,LOT 2 & PT 1 BK 9 RUGBY,18730.8
020028000,910700,29322146,1844,WESTVIEW RD,,"PT LOTS 19,20 & STR BK 9 RUGBY",18730.8
010040000,771000,29322147,1864,FIELD RD,,LOT 11 BK 8 RUGBY,17511.12
020011000,648400,29322148,114,HOWARD DR,,LOT 7 HOWARD,0
020016000,583900,29322149,1800,BARRACKS RD,,LOT A,17075.52
020021000,954300,29322150,941,ROSSER LN,,LOT C BK 13 RUGBY,63336.24
020013000,396700,29322151,110,HOWARD DR,,LOT 5,7710.12
010043000,680800,29322152,1861,WINSTON RD,,LOT A RUGBY,16030.08
010045000,881700,29322153,1867,WINSTON RD,,LOT 1 & PT 2 BK 5 RUGBY,11979
020019100,850700,29322154,947,ROSSER LN,,PARCEL B RUGBY,26397.36
020016200,524900,29322155,1109,RUGBY RD,,LOT C,8319.96
020012000,469700,29322156,112,HOWARD DR,,LOT 6,10062.36
020031000,1490100,29322157,1859,FIELD RD,,"LOT 1 & PT 23&24, PAR X BK 9 RUGBY",24175.8
020033000,938500,29322158,1862,FIELD RD,,LOT 10 BK 8 RUGBY,25221.24
010044000,1344700,29322159,1863,WINSTON RD,,"LOTS 3,4 & PT 2 BK 5 RUGBY",18730.8
020029000,983600,29322160,1834,WESTVIEW RD,,"LOT 21&PT 20,23&24 BK 9 RUGBY",25700.4
020020000,1100900,29322161,945,ROSSER LN,,LOT 5 & PT 4 BK 13 RUGBY,18687.24
020016100,562400,29322162,1107,RUGBY RD,,LOT B,9757.44
010042000,722600,29322163,1859,WINSTON RD,,PT LOTS 5 & 6 BK 5 RUGBY,7492.32
020037000,895500,29322164,1860,FIELD RD,,LOT 9 BK 8 RUGBY,21649.32
020017000,761700,29322165,1105,RUGBY RD,,PT LOT 5,26353.8
020034000,616900,29322166,1857,WINSTON RD,,LOT 7 & PT 6 BK 5 RUGBY,11238.48
020019000,1724200,29322167,1101,RUGBY RD,,PARCEL A RUGBY,51836.4
020023100,1697000,29322168,1829,WESTVIEW RD,,LOT B BK 8 RUGBY,28270.44
020038000,909400,29322169,1858,FIELD RD,,LOT 8 BK 8 RUGBY,24219.36
020035000,828800,29322170,1855,WINSTON RD,,LOT 8 & PT 9 BK 5 RUGBY,16204.32
020022000,1045100,29322171,939,ROSSER LN,,LOT D BK 13 RUGBY,33584.76
020042000,680100,29322172,1856,FIELD RD,,LOT 7 BK 8 RUGBY,13634.28
020044000,722000,29322173,919,OLD FARM RD,,LOT 5 BK 8 ROSSER,11674.08
030001000,571800,29322174,1106,RUGBY RD,,LOT RUGBY,18556.56
020036000,584900,29322175,1851,WINSTON RD,,PT LOTS 9 & 10 BK 5 RUGBY,14984.64
020043000,775300,29322176,1854,FIELD RD,,LOT 6 BK 8 RUGBY,14636.16
030003000,488500,29322177,1717,RUGBY AVE,,LOT,11586.96
030005000,467700,29322178,1715,RUGBY AVE,,PT LOT 2,10846.44
020053000,749400,29322179,1832,WESTVIEW RD,,LOT 6 & PT 5 BK 7 RUGBY,17467.56
020066000,640900,29322180,942,ROSSER LN,,LOT 23 BK I RUGBY,25700.4
020045000,686800,29322181,913,OLD FARM RD,,LOT 4 BK 8 RUGBY,11238.48
030006100,832500,29322182,1705,RUGBY AVE,,LOT A,27834.84
020039000,672000,29322183,1849,WINSTON RD,,PT LOTS 10 & 11 BK 5 RUGBY,12763.08
030006000,614300,29322184,1701,RUGBY AVE,,LOT B,20734.56
030002000,555400,29322185,1102,RUGBY RD,,PT LOT RUGBY,16335
020040000,358200,29322186,1847,WINSTON RD,,PT LOT 11 BK 5 RUGBY,9016.92
030007000,289500,29322187,1106,STONEFIELD LN,,LOT 2 RUGBY WOODS,7797.24
020065000,678500,29322188,938,ROSSER LN,,LOTS 22 & B BK 1 RUGBY,22389.84
020046000,713900,29322189,911,OLD FARM RD,,LOTS 2A & 3 BK 8 RUGBY,15812.28
020052000,912600,29322190,916,OLD FARM RD,,PT LOTS 4 & 5 BK 7 RUGBY,12371.04
030004000,743800,29322191,1711,RUGBY AVE,,LOT,11543.4
020041000,699500,29322192,1843,WINSTON RD,,LOTS 12 & 13 BK 8 RUGBY,26702.28
020054600,832000,29322193,915,COTTAGE LN,,LOT 7 BK B RUGBY,13285.8
020068000,2504900,29322194,1007,RUGBY RD,,LOTS 1 & 2A BK 1 RUGBY,80803.8
030009000,296800,29322195,1641,RUGBY AVE,,LOT 2 RUGBY WOODS,11238.48
030010000,589700,29322196,1637,RUGBY AVE,,LOTS 3 & 3A RUGBY WOODS,13503.6
020023000,1750500,29322197,1801,WESTVIEW RD,,LOT A1 BK 13 RUGBY,47785.32
030011000,140500,29322198,1627,RUGBY AVE,,LOT 4 RUGBY WOODS,12283.92
020051000,673500,29322199,912,OLD FARM RD,,PT LOTS 3 & 4 BK 7 RUGBY,16509.24
020064000,837800,29322200,932,ROSSER LN,,LOT A BK 1 RUGBY,21823.56
030012000,497300,29322201,1625,RUGBY AVE,,LOT 5 RUGBY WOODS,12240.36
030008000,392400,29322202,1643,RUGBY AVE,,LOT 1 RUGBY WOODS,7274.52
030013000,368700,29322203,1623,RUGBY AVE,,LOT 6 RUGBY WOODS,12283.92
020047000,718300,29322204,907,OLD FARM RD,,LOT 2 BK 8 RUGBY,14026.32
030014000,573700,29322205,1621,RUGBY AVE,,LOT A-1 RUGBY WOODS,12066.12
020054500,1114800,29322206,911,COTTAGE LN,,LOT 6 BK B RUGBY,9931.68
030015000,534400,29322207,1105,HERNDON RD,,LOT B-1 RUGBY WOODS,11935.44
020055101,736900,29322208,1828,WESTVIEW RD,,LOT 11 BK A RUGBY,13982.76
030016000,862900,29322209,1549,RUGBY AVE,,LOT 9 & PT 10 RUGBY WOODS,17380.44
020063000,996600,29322210,928,ROSSER LN,,LOT 20 BK 1 RUGBY,19297.08
030018000,341600,29322211,1545,RUGBY AVE,,PT LOT 10 RUGBY WOODS,10367.28
020050000,1011300,29322212,910,OLD FARM RD,,LOT A RUGBY,16335
020055900,210100,29322213,1824,WESTVIEW RD,,LOT 10 BK A RUGBY,10018.8
020048000,748700,29322214,1839,WINSTON RD,,LOT 1 BK 8 RUGBY,13808.52
030052000,669000,29322215,1006,RUGBY RD,,LOT B MALLISON PROP,17206.2
020054400,540700,29322216,909,COTTAGE LN,,LOT 5 BK B RUGBY,11107.8
030051000,457800,29322217,1718,RUGBY AVE,,PT LOT 2,23261.04
020055110,404100,29322218,910,COTTAGE LN,,LOT 12 BK A RUGBY,10846.44
030050000,444000,29322219,1710,RUGBY AVE,,PT LOT 2,23304.6
020055800,1033700,29322220,1822,WESTVIEW RD,,LOT 9 BK A RUGBY,12283.92
030049000,529900,29322221,1708,RUGBY AVE,,LOT 3,19079.28
030048000,438000,29322222,1706,RUGBY AVE,,LOT 4,16727.04
020062000,811700,29322223,924,ROSSER LN,,LOT 19 BK 1 RUGBY,16509.24
030047000,567500,29322224,1702,RUGBY AVE,,LOT 5 & PARCEL X,20255.4
020050100,819100,29322225,906,OLD FARM RD,,LOT B RUGBY,13852.08
030046000,680000,29322226,1700,RUGBY AVE,,LOT 6 & STRIP,24742.08
020054300,787600,29322227,907,COTTAGE LN,,LOT 4 BK B RUGBY,10497.96
030045000,892800,29322228,1698,RUGBY AVE,,LOT B WESTWOOD,32060.16
020055700,123800,29322229,1820,WESTVIEW RD,,LOT 8 BK A RUGBY,14287.68
020055000,719200,29322230,908,COTTAGE LN,,LOT 1 BK A RUGBY,0
030052100,445200,29322231,1004,RUGBY RD,,LOT A MALLISON PROP,13416.48
020049000,836100,29322232,1825,WINSTON RD,,LOT 1 BK 7 RUGBY,14287.68
030024000,696600,29322233,1626,RUGBY AVE,,LOT 1 BK B WESTWOOD,16030.08
020061000,1071900,29322234,920,ROSSER LN,,LOT 18 BK 1 RUGBY,15376.68
020054200,880800,29322235,905,COTTAGE LN,,LOT 3 BK B RUGBY,10497.96
030023000,511700,29322236,1618,RUGBY AVE,,LOT 2 BK B WESTWOOD,15986.52
030022000,531200,29322237,1620,RUGBY AVE,,LOT 3 BK B WESTWOOD,15986.52
020055600,712200,29322238,909,ROSSER LN,,LOT 7 BK A RUGBY,15681.6
030021000,664100,29322239,1610,RUGBY AVE,,LOT 4 BK B WESTWOOD,15986.52
030020000,529500,29322240,1606,RUGBY AVE,,LOT 5 BK B WESTWOOD,15986.52
020054000,560200,29322241,1823,WINSTON RD,,LOT 1 BK 5 RUGBY,9452.52
030045100,350400,29322242,1165,KENSINGTON AVE,,LOT A WESTWOOD,8668.44
030019000,417900,29322243,1600,RUGBY AVE,,LOT 6 BK B WESTWOOD,13895.64
030053000,202400,29322244,1224,PRESTON AVE,A&B,LOT,10715.76
020071000,315200,29322245,0,RUGBY RD,,LOT 6 BK 1 RUGBY,24611.4
020060000,917700,29322246,918,ROSSER LN,,PT LOT 17 & PAR X  BK 18 RUGBY,12327.48
020054100,728600,29322247,1821,WINSTON RD,,LOT 2 BK B RUGBY,10802.88
020055100,649500,29322248,904,COTTAGE LN,,LOT 2 BK A RUGBY,9452.52
020055500,697600,29322249,907,ROSSER LN,,LOT 6 BK A RUGBY,12675.96
030144000,2251200,29322250,936,RUGBY RD,,"PT LOTS 31,32 & 30' STRIP",107288.28
030044000,441100,29322251,1163,KENSINGTON AVE,,LOT 3 BK A WESTWOOD,22781.88
030054000,187800,29322252,1222,PRESTON AVE,,LOT,17206.2
030025000,437500,29322253,1619,WESTWOOD RD,,LOT 9 BK B WESTWOOD,15986.52
020055400,812000,29322254,905,ROSSER LN,,LOT 5 BK A RUGBY,13503.6
020055400,812000,29322254,905,ROSSER LN,,LOT 5 BK A RUGBY,13503.6
020072000,883600,29322255,921,RUGBY RD,,LOT 7 BK 1 RUGBY,14418.36
020072000,883600,29322255,921,RUGBY RD,,LOT 7 BK 1 RUGBY,14418.36
030026000,668900,29322256,1617,WESTWOOD RD,,LOT 10 BK B WESTWOOD,15986.52
020055200,716700,29322257,1815,WINSTON RD,,LOT 3 BK A RUGBY,11238.48
030027000,446400,29322258,1615,WESTWOOD RD,,LOT 11 BK B WESTWOOD,15986.52
030028000,642200,29322259,1611,WESTWOOD RD,,LOT 12 BK B WESTWOOD,15986.52
030055000,244400,29322260,1220,PRESTON AVE,,LOT,12371.04
020073000,842000,29322261,919,RUGBY RD,,LOT 8 BK 1 RUGBY,13198.68
020055300,679000,29322262,901,ROSSER LN,,LOT 4 BK A RUGBY,16160.76
030043000,655200,29322263,1159,KENSINGTON AVE,,LOT 4 BK A WESTWOOD,24393.6
020074000,1192800,29322264,917,RUGBY RD,,LOT 9 BK 1 RUGBY,12240.36
030056000,274900,29322265,1218,PRESTON AVE,,LOT A,8668.44
030059000,212800,29322266,1214,PRESTON AVE,,LOT 1,12414.6
030057000,33400,29322267,0,PRESTON AVE,,KELLEY JR LOT,10149.48
030139000,2140000,29322268,928,RUGBY RD,,LOT A,53535.24
020075000,888900,29322269,915,RUGBY RD,,LOT 10 BK 1 RUGBY,11107.8
030042000,508000,29322270,1155,KENSINGTON AVE,,LOT 5 BK A WESTWOOD,21605.76
030032000,469700,29322271,1622,WESTWOOD RD,,LOT 1 BK CC WESTWOOD,23348.16
030058000,340800,29322272,1212,PRESTON AVE,,LOT,8712
020076000,582600,29322273,905,RUGBY RD,,LOT 11 BK 1 RUGBY,12980.88
030031000,1010100,29322274,1618,WESTWOOD RD,,LOT 5 BK C WESTWOOD,15986.52
030030000,478400,29322275,1614,WESTWOOD RD,,LOT 4 BK C WESTWOOD,15986.52
030029000,498600,29322276,1610,WESTWOOD RD,,LOT 3 BK C WESTWOOD,15986.52
030143000,263100,29322277,937,HEMLOCK LN,,LOT 1,11369.16
020077000,851100,29322278,901,RUGBY RD,,LOT 12 BK 1 RUGBY,11107.8
030041000,668500,29322279,1151,KENSINGTON AVE,,LOT 6 BK A WESTWOOD,21649.32
030065000,420100,29322280,1208,PRESTON AVE,,RESIDUE OF PT LOTS 7 & 8,15246
030066000,335500,29322281,1204,PRESTON AVE,,LOT 3 & PARCEL X,9931.68
030067000,289500,29322282,1202,PRESTON AVE,,LOT 2,7056.72
030067200,613300,29322283,1607,CABELL AVE,,LOT 4,8145.72
030142000,263200,29322284,935,HEMLOCK LN,,LOT 2,7492.32
030141000,228100,29322285,933,HEMLOCK LN,,LOT 3,7492.32
030033000,446400,29322286,1629,HARDWOOD AVE,,LOT 2 BK CC WESTWOOD,17946.72
030140000,287100,29322287,931,HEMLOCK LN,,LOT 4,8712
030034000,466800,29322288,1625,HARDWOOD AVE,,LOT 3 BK CC WESTWOOD,15986.52
