,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
15541,17725,240120180,2010-05-06,251607,,844 ROCK CREEK RD,Single Family Attached,38.021885,-78.498775,8
15543,17727,240120190,2010-02-08,266000,,846 ROCK CREEK RD,Single Family Attached,38.021931,-78.498723,8
15544,17728,240120190,2010-05-10,224725,,846 ROCK CREEK RD,Single Family Attached,38.021931,-78.498723,8
15545,17729,240120200,2011-03-29,224325,,812 ROCK CREEK RD,Single Family Attached,38.0216484,-78.4993982,8
15546,17730,240120200,2010-12-09,399000,,812 ROCK CREEK RD,Single Family Attached,38.0216484,-78.4993982,8
15547,17731,240120201,2017-06-09,260000,,848 ROCK CREEK RD,Single Family Attached,38.021972999999996,-78.498678,8
15548,17732,240120201,2010-07-01,247578,,848 ROCK CREEK RD,Single Family Attached,38.021972999999996,-78.498678,8
15549,17733,240120201,2010-02-08,266000,,848 ROCK CREEK RD,Single Family Attached,38.021972999999996,-78.498678,8
15551,17735,240120210,2010-05-28,258379,,850 ROCK CREEK RD,Single Family Attached,38.02202,-78.498625,8
15552,17736,240120210,2010-02-08,266000,,850 ROCK CREEK RD,Single Family Attached,38.02202,-78.498625,8
15553,17737,240120220,2010-12-17,219990,,852 ROCK CREEK RD,Single Family Attached,38.022085,-78.498558,8
15554,17738,240120220,2009-12-18,199500,,852 ROCK CREEK RD,Single Family Attached,38.022085,-78.498558,8
15555,17739,240120230,2010-05-05,216915,,854 ROCK CREEK RD,Single Family Attached,38.022132,-78.49850699999999,8
15556,17740,240120230,2014-11-24,195000,,854 ROCK CREEK RD,Single Family Attached,38.022132,-78.49850699999999,8
15558,17742,240120230,2009-12-18,199500,,854 ROCK CREEK RD,Single Family Attached,38.022132,-78.49850699999999,8
15559,17743,240120240,2014-04-25,248000,,856 ROCK CREEK RD,Single Family Attached,38.022177,-78.498469,8
15561,17745,240120240,2019-06-20,299000,,856 ROCK CREEK RD,Single Family Attached,38.022177,-78.498469,8
15562,17746,240120240,2010-05-28,227361,,856 ROCK CREEK RD,Single Family Attached,38.022177,-78.498469,8
15563,17747,240120240,2009-12-18,199500,,856 ROCK CREEK RD,Single Family Attached,38.022177,-78.498469,8
15564,17748,240120300,2011-03-29,221691,,814 ROCK CREEK RD,Single Family Attached,38.0215736,-78.4993207,8
15565,17749,240120300,2017-06-16,248000,,814 ROCK CREEK RD,Single Family Attached,38.0215736,-78.4993207,8
15566,17750,240120300,2010-12-09,399000,,814 ROCK CREEK RD,Single Family Attached,38.0215736,-78.4993207,8
15567,17751,240120400,2013-05-08,165000,,816 ROCK CREEK RD,Single Family Attached,38.0215129,-78.4993626,8
15568,17752,240120400,2010-12-09,399000,,816 ROCK CREEK RD,Single Family Attached,38.0215129,-78.4993626,8
15569,17753,240120400,2011-03-22,210405,,816 ROCK CREEK RD,Single Family Attached,38.0215129,-78.4993626,8
15570,17754,240120500,2019-06-03,285000,,818 ROCK CREEK RD,Single Family Attached,38.0214898,-78.4993626,8
15571,17755,240120500,2010-12-09,399000,,818 ROCK CREEK RD,Single Family Attached,38.0214898,-78.4993626,8
15572,17756,240120500,2011-03-14,202090,,818 ROCK CREEK RD,Single Family Attached,38.0214898,-78.4993626,8
15573,17757,240120600,2011-03-10,204140,,820 ROCK CREEK RD,Single Family Attached,38.02146,-78.499266,8
15574,17758,240120600,2010-12-09,399000,,820 ROCK CREEK RD,Single Family Attached,38.02146,-78.499266,8
15575,17759,240120700,2010-12-14,260821,,822 ROCK CREEK RD,Single Family Attached,38.021363,-78.499193,8
15576,17760,240120700,2019-05-23,315000,,822 ROCK CREEK RD,Single Family Attached,38.021363,-78.499193,8
15577,17761,240120700,2010-09-02,399000,,822 ROCK CREEK RD,Single Family Attached,38.021363,-78.499193,8
15578,17762,240120700,2014-09-30,246000,,822 ROCK CREEK RD,Single Family Attached,38.021363,-78.499193,8
15579,17763,240120800,2010-12-15,194960,,824 ROCK CREEK RD,Single Family Attached,38.0214981,-78.49912490000001,8
15580,17764,240120800,2010-09-02,399000,,824 ROCK CREEK RD,Single Family Attached,38.0214981,-78.49912490000001,8
15581,17765,240120900,2018-07-12,294000,,826 ROCK CREEK RD,Single Family Attached,38.0214981,-78.49912490000001,8
15582,17766,240120900,2010-09-02,399000,,826 ROCK CREEK RD,Single Family Attached,38.0214981,-78.49912490000001,8
15583,17767,240120900,2010-12-17,221561,,826 ROCK CREEK RD,Single Family Attached,38.0214981,-78.49912490000001,8
15584,17769,240122000,2006-09-25,159000,,601 PROSPECT AVE,Single Family Attached,38.025087299999996,-78.4955777,8
15587,17772,240123000,2016-02-19,53700,,603 PROSPECT AVE,Single Family Attached,38.0250447,-78.49553879999999,8
15589,17774,240123000,2015-07-17,87885,,603 PROSPECT AVE,Single Family Attached,38.0250447,-78.49553879999999,8
15592,17777,240124000,2003-09-16,84000,,605 PROSPECT AVE,Single Family Attached,38.025007,-78.49537009999999,8
15594,17779,240124000,2020-01-30,125000,,605 PROSPECT AVE,Single Family Attached,38.025007,-78.49537009999999,8
15598,17783,240125000,2009-05-08,95000,,607 PROSPECT AVE,Single Family Attached,38.0250024,-78.4953168,8
15600,17785,240125000,2002-01-31,45000,,607 PROSPECT AVE,Single Family Attached,38.0250024,-78.4953168,8
15602,17787,240125000,2018-02-27,97000,,607 PROSPECT AVE,Single Family Attached,38.0250024,-78.4953168,8
15607,17792,240128000,2019-06-27,157500,,701 PROSPECT AVE,Single Family Attached,38.0247265,-78.4951059,8
15617,17802,240130000,2014-12-12,89000,,705 PROSPECT AVE,Single Family Attached,38.0245796,-78.4949617,8
15619,17804,240130000,2020-03-09,99000,,705 PROSPECT AVE,Single Family Attached,38.0245796,-78.4949617,8
15621,17806,240130000,2004-04-27,57700,,705 PROSPECT AVE,Single Family Attached,38.0245796,-78.4949617,8
15626,17811,240131000,2007-11-15,107000,,707 PROSPECT AVE,Single Family Attached,38.0245409,-78.4949647,8
15629,17814,240131000,2019-05-20,155000,,707 PROSPECT AVE,Single Family Attached,38.0245409,-78.4949647,8
