,RecordID_Int,ParcelNumber,SaleDate,SaleAmount,Unit,Address,UseCode,LATITUDE,LONGITUDE,Region
16112,18293,240246000,2004-10-20,112000,,625 BAILEY RD,Single Family Attached,38.021552500000006,-78.4965128,8
16114,18295,240247000,2008-07-07,145000,,623 BAILEY RD,Single Family Attached,38.021448,-78.49639499999999,8
16128,18320,250004100,2018-06-29,205000,,780 PROSPECT AVE,Single Family Attached,38.022520899999996,-78.49559029999999,8
16132,18324,250004200,2009-08-05,113800,,776 PROSPECT AVE,Single Family Attached,38.022760299999995,-78.4955801,8
16134,18326,250004200,2009-01-20,119355,,776 PROSPECT AVE,Single Family Attached,38.022760299999995,-78.4955801,8
16136,18328,250005000,2008-06-26,450000,,782 PROSPECT AVE,Single Family,38.022296000000004,-78.4958051,8
16143,18335,250005B00,2012-09-26,59500,,784 PROSPECT AVE,Single Family Attached,38.02219,-78.4959203,8
16145,18337,250005B00,2015-04-02,194900,,784 PROSPECT AVE,Single Family Attached,38.02219,-78.4959203,8
16147,18339,250005C00,2012-09-26,59500,,786 PROSPECT AVE,Single Family Attached,38.0221315,-78.49595579999999,8
16148,18340,250005C00,2015-04-30,189900,,786 PROSPECT AVE,Single Family Attached,38.0221315,-78.49595579999999,8
16152,18352,250007001,2020-02-27,249900,,101 ALTO PL,Single Family Attached,38.029305900000004,-78.4766781,1
16153,18353,250007002,2020-04-01,237900,,103 ALTO PL,Single Family Attached,38.029305900000004,-78.4766781,1
